chapt,sec,keywords,ger,span,type / model,subtype,stat1,stat1,val1,val2,val3,val4,val5,val6
,,,,,,,,,,,,,,
1,1,,die Reise,el viaje,nom,,,,,,,,,
1,1,,der Morgen,la mañana,nom,,,,,,,,,
1,1,,der Abend,la tarde,nom,,,,,,,,,
1,1,,die Nacht,la noche,nom,,,,,,,,,
1,1,,der Flughafen,la aeropuerto,nom,,,,,,,,,
1,1,,die Strasse,la calle,nom,,,,,,,,,
1,1,,der Bahnhof,la estación,nom,,,,,,,,,
1,1,,die Frau,la mujer,nom,,,,,,,,,
1,1,,das Kind,el niño,nom,,,,,,,,,
1,1,,der Mann,el hombre,nom,,,,,,,,,
1,1,,das Jahr,el año,nom,,,,,,,,,
1,1,,das Restaurant,el restaurante,nom,,,,,,,,,
1,1,,das Hotel,el hotel,nom,,,,,,,,,
1,1,,das Hobby,la afición,nom,,,,,,,,,
1,1,,das Autokennzeichen,la matricula,nom,,,,,,,,,
1,1,,der Schlüssel,la llave,nom,,,,,,,,,
1,1,,das Auto,el coche,nom,,,,,,,,,
1,1,,das Haus,la casa,nom,,,,,,,,,
1,1,,das Zimmer,la habitación,nom,,,,,,,,,
1,1,,die Adresse,la dirección,nom,,,,,,,,,
1,1,,die Identitätskarte,el carné de identidad,nom,,,,,,,,,
1,1,,der Passport,el pasaporte,nom,,,,,,,,,
1,1,,der Fahrausweis,el carné de conducir,nom,,,,,,,,,
1,1,,der Bruder / das Geschwister,el hermano,nom,,,,,,,,,
1,1,,das Alter,la edad,nom,,,,,,,,,
1,1,,die Personalien,los datos personales,nom,,,,,,,,,
1,1,,die Stadt,la ciudad,nom,,,,,,,,,
,,,,,,,,,,,,,,
1,2,,der Familienname,el apellido,nom,,,,,,,,,
1,2,,der (Vor)name,el nombre,nom,,,,,,,,,
1,2,,die Überraschung,la sorpresa,nom,,,,,,,,,
,,,,,,,,,,,,,,
1,3,,der / die Alte,el viejo / la vieja,nom,,,,,,,,,
1,3,,das Glück / die Beglückung,la felicidad,nom,,,,,,,,,
1,3,,die Hand,la mano,nom,,,,,,,,,
1,3,,der Kuss,el beso,nom,,,,,,,,,
1,3,,der Freund / die Freundin,el amigo / la amiga,nom,,,,,,,,,
1,3,,die Umarmung,el abrazo,nom,,,,,,,,,
1,3,,die Mutter,la madre,nom,,,,,,,,,
1,3,,der Vater,el padre,nom,,,,,,,,,
1,3,,die Sprechblase,el bocadillo,nom,,,,,,,,,
1,3,,der Montag,el lunes,nom,,,,,,,,,
,,,,,,,,,,,,,,
1,4,,wer?,¿quién?,pron,interrogativo,,,,,,,,
1,4,,wer,quien,pron,relativo,,,,,,,,
1,4,,Wer ist Carmen?,¿Quién es Carmen?,wend,,,,,,,,,
1,4,,Bist du Marisa?,¿Eres Marisa?,wend,,,,,,,,,
1,4,,Sind Sie Carmen?,¿Es usted Carmen?,wend,,,,,,,,,
1,4,,Sind Sie Frau G?,¿Es usted la señora G?,wend,,,,,,,,,
1,4,,das Büro,la oficina,nom,,,,,,,,,
1,4,,der Mensch,la persona,nom,,,,,,,,,
1,4,,die Feier / das Fest / die Party,la fiesta,nom,,,,,,,,,
1,4,,die Sitzung / die Besprechung / die Versammlung,la reunión,nom,,,,,,,,,
1,4,,arbeiten,trabajar,verb,amar,indicativo,presente,trabajo,trabajas,trabaja,trabajamos,trabajáis,trabajan
1,4,,neu,nuevo,adj,,,,,,,,,
1,4,,der Kollege,el compañero,nom,,,,,,,,,
1,4,,schauen / sehen,mirar,verb,amar,indicativo,presente,miro,miras,mira,miramos,miráis,miran
1,4,,der Techniker / der Experte / der Fachmann,el técnico,nom,,,,,,,,,
1,4,,französisch,franc[*és|es_a|es_es|es_as],adj,,,,,,,,,
1,4,,"aber, jedoch, doch",pero [conj],prep,conjunction,,,,,,,,
1,4,,das Aber,el pero,nom,,,,,,,,,
1,4,,ohne Wenn und Aber,sin un pero,wend,,,,,,,,,
1,4,,Entschuldige!,¡Perdona!,wend,,,,,,,,,
1,4,,sich entschuldigen,perdonarse,verb,amar,indicativo,presente,me perdono,te perdonas,se perdona,nos perdonamos,os perdonáis,se perdonan
1,4,,jmdm etw nachsehen,perdonar [algo a alguien],verb,amar,indicativo,presente,perdono,perdonas,perdona,perdonamos,perdonáis,perdonan
1,4,,Sehr erfreut,¡Encantado!,wend,,,,,,,,,
1,4,,"…, oder? …, nicht wahr?","…, ¿verdad?",wend,,,,,,,,,
1,4,,die Wahrheit,la verdad,nom,,,,,,,,,
1,4,,Danke!,¡Gracias!,wend,,,,,,,,,
1,4,,der Dank,las gracias,nom,,,,,,,,,
1,4,,dank etw,gracias a algo,prep,,,,,,,,,
1,4,,(Vielen) Dank [für etw],(Muchas) gracias [por algo],wend,,,,,,,,,
1,4,,Das ist Clara (vorstellen),Te presento a Clara,wend,,,,,,,,,
1,4,,"Schau, das ist Pedro (vorstellen)","Mira, este es Pedro.",wend,,,,,,,,,
1,4,,[sich jmdn] vorstellen,presentarse [a alguien],verb,amar,indicativo,presente,me presento,te presentas,se presenta,nos presentamos,os presentáis,se presentan
1,4,,der Designer,el diseñador,nom,,,,,,,,,
1,4,,"Hi, wie geht’s?","Hola, ¿qué tal?",wend,,,,,,,,,
1,4,,die (Visiten)Karte,la tarjeta,nom,,,,,,,,,
1,4,,hier,aquí,adv,,,,,,,,,
1,4,,der Finanzier,el financiero,nom,,,,,,,,,
1,4,,finanziell,financiero,adj,,,,,,,,,
1,4,,der Geschäftsführer,el director,nom,,,,,,,,,
1,4,,die Geschäftsführerin,la directora,nom,,,,,,,,,
1,4,,deutsch,alem[*án|*an_a|*an_es|*an_as],adj,,,,,,,,,
1,4,,das Deutsch,el alemán,nom,,,,,,,,,
1,4,,der Deutsche,el alemán,nom,,,,,,,,,
1,4,,die Deutsche,la alemana,nom,,,,,,,,,
1,4,,englisch,inglés,adj,,,,,,,,,
1,4,,das Englisch,el inglés,nom,,,,,,,,,
1,4,,der Engländer,el inglés,nom,,,,,,,,,
1,4,,die Engländerin,la inglesa,nom,,,,,,,,,
1,4,,US amerikanisch,estadounidense,adj,,,,,,,,,
1,4,,der US Amerikaner,el estadounidense,nom,,,,,,,,,
1,4,,,,,,,,,,,,,
1,4,,italienisch,italiano,adj,,,,,,,,,
1,4,,der Italiener,el italiano,nom,,,,,,,,,
1,4,,brasilianisch,brasileño,adj,,,,,,,,,
1,4,,mexikanisch,mexicano,adj,,,,,,,,,
1,4,,guatemaltekisch,guatemalteco,adj,,,,,,,,,
1,4,,paraguayanisch,paraguayo,adj,,,,,,,,,
1,4,,venezolanisch,venezolano,adj,,,,,,,,,
1,4,,chilenisch,chileno,adj,,,,,,,,,
1,4,,spanisch,español,adj,,,,,,,,,
1,4,,kubanisch,cubano,adj,,,,,,,,,
1,4,,nicaraguanisch,nicaragüense,adj,,,,,,,,,
1,4,,panamaisch,panameño,adj,,,,,,,,,
1,4,,argentinisch,argentino,adj,,,,,,,,,
1,4,,peruanisch,peruano,adj,,,,,,,,,
1,4,,sein (Gefühl / Stimmung / Ort),estar,verb,IRR,indicativo,presente,estoy,estás,está,estamos,estáis,están
1,4,,"sein (Herkunft, Vorstellen, Beruf, Eigenschaften Dinge)",ser,verb,IRR,indicativo,presente,soy,eres,es,somos,sois,son
,,,,,,,,,,,,,,
1,5,,die Anrede / die Behandlung,el tratamiento,nom,,,,,,,,,
1,5,,das Land,el país,nom,,,,,,,,,
1,5,,reden / sprechen,hablar,verb,amar,indicativo,presente,hablo,hablas,habla,hablamos,habláis,hablan
1,5,,[etw] sprechen (Sprache),hablar [algo],wend,,,,,,,,,
1,5,,[jmdn] ansprechen,hablar [a alguien],wend,,,,,,,,,
1,5,,[jmdn etw] erzählen,hablar [a alguien de algo],wend,,,,,,,,,
1,5,,[etw] besprechen,hablar [de algo],wend,,,,,,,,,
1,5,,leben,vivir,verb,vivir,indicativo,presente,vivo,vives,vive,vivimos,vivis,viven
1,5,,[etw] erleben,vivir [algo],wend,,,,,,,,,
1,5,,[in etw] wohnen,vivir [en algo],wend,,,,,,,,,
1,5,,[irgendwo] leben / wohnen,vivir [en lugar],wend,,,,,,,,,
1,5,,die Herkunft / der Ursprung,el origen,nom,,,,,,,,,
1,5,,[etw] essen,comer [algo],verb,deber,indicativo,presente,como,comes,come,comemos,coméis,comen
1,5,,das Fleisch,la carne,nom,,,,,,,,,
1,5,,das Gemüse,la verdura,nom,,,,,,,,,
1,5,,Entschuldigung!,¡Lo siento!,wend,,,,,,,,,
1,5,,Entschuldigung!,¡Perdón!,wend,,,,,,,,,
1,5,,vegetarisch,vegetariano,adj,,,,,,,,,
1,5,,[etw] lernen,estudiar [algo],verb,amar,indicativo,presente,estudio,estudias,estudia,estudiamos,estudiáis,estudian
1,5,,[etw] studieren (Uni),estudiar [algo],verb,amar,indicativo,presente,estudio,estudias,estudia,estudiamos,estudiáis,estudian
1,5,,[etw] trinken,beber [algo],verb,deber,indicativo,presente,bebo,bebes,bebe,bebemos,bebéis,beben
1,5,,[etw] schreiben,escribir [algo],verb,escribir,indicativo,presente,escribo,escribes,escribe,escribimos,escribís,escriben
1,5,,[etw] singen,cantar [algo],verb,amar,indicativo,presente,canto,cantas,canta,cantamos,cantáis,cantan
1,5,,die Vereinigten Staaten,los Estados Unidos,nom,,,,,,,,,
1,5,,Herr X (3. pers),el señor X,wend,,,,,,,,,
1,5,,Herr X (2. pers),señor X,wend,,,,,,,,,
1,5,,als / wenn [temporal],cuando [conj],prep,conjunction,,,,,,,,
1,5,,wenigstens / zumindest / mindestens,cuando menos,adv,,,,,,,,,
1,5,,[etw] benutzen,usar [algo],verb,amar,indicativo,presente,uso,usas,usa,usamos,usäis,usan
1,5,,jeder / jede / jedes,cada [det],prep,det – indefinido,,,,,,,,
1,5,,"jedes mal, wenn...",cada vez que [conj],wend,,,,,,,,,
1,5,,das Mal,la vez,nom,,,,,,,,,
1,5,,weniger,menos,adv,,,,,,,,,
1,5,,einige,algunos [det pron],pron,det – indefinido,,,,,,,,
1,5,,das Heft,el cuaderno,nom,,,,,,,,,
1,5,,das Buch,el libro,nom,,,,,,,,,
1,5,,der Kugelschreiber,el bolígrafo,nom,,,,,,,,,
1,5,,das Glas / der Becher,el vaso,nom,,,,,,,,,
1,5,,das Telefon,el teléfono,nom,,,,,,,,,
1,5,,die Karte,el mapa (ireg!),nom,,,,,,,,,
1,5,,der Ordner / die Mappe,la carpeta,nom,,,,,,,,,
1,5,,der Stuhl,la silla,nom,,,,,,,,,
1,5,,der Tisch,la mesa,nom,,,,,,,,,
1,5,,die Flasche,la botella,nom,,,,,,,,,
1,5,,die Tasse,la taza,nom,,,,,,,,,
1,5,,das Foto,la foto,nom,,,,,,,,,
1,5,,das Problem,el problema (irreg!),nom,,,,,,,,,
1,5,,die Hand,la mano (irreg!),nom,,,,,,,,,
1,5,,das Radio,la radio (irreg!),nom,,,,,,,,,
1,5,,der Planet,el planeta (irreg!),nom,,,,,,,,,
1,5,,adj: masc: -o; fem?,-a,rule,Adj,,,,,,,,
1,5,,adj: masc: -eño; fem?,-eña,rule,Adj,,,,,,,,
1,5,,adj: masc: -ol; fem?,-la,rule,Adj,,,,,,,,
1,5,,adj: masc: -és; fem?,-esa,rule,Adj,,,,,,,,
1,5,,adj: masc: -án; fem?,-ana,rule,Adj,,,,,,,,
1,5,,adj: masc: -a; fem?,-a,rule,Adj,,,,,,,,
1,5,,adj: masc: -í; fem?,-í,rule,Adj,,,,,,,,
1,5,,adj: masc: -ense; fem?,-ense,rule,Adj,,,,,,,,
,,,,,,,,,,,,,,
1,6,,kurz: don,D.,rule,Short,,,,,,,,
1,6,,kurz: doña,D.ª,rule,Short,,,,,,,,
1,6,,kurz: señor,Sr.,rule,Short,,,,,,,,
1,6,,kurz: señora,Sra. / Sr.ª,rule,Short,,,,,,,,
1,6,,kurz: calle,C/,rule,Short,,,,,,,,
1,6,,kurz: plaza,Pza.,rule,Short,,,,,,,,
1,6,,kurz: avenida,Avda,rule,Short,,,,,,,,
1,6,,kurz: paseo,P.º,rule,Short,,,,,,,,
1,6,,der Platz,la plaza,nom,,,,,,,,,
1,6,,die Allee,la avenida,nom,,,,,,,,,
1,6,,die Promenade,el paseo,nom,,,,,,,,,
1,6,,das Kind,el hijo,nom,,,,,,,,,
1,6,,oftmals,muchas veces,adv,,,,,,,,,
1,6,,öfter / manchmals,a veces,adv,,,,,,,,,
1,6,,einmal,una vez,wend,,,,,,,,,
1,6,,gleich / selber /selbe / selbes,mismo,adj,,,,,,,,,
1,6,,gleich / vergleichbar / genau so,igual,adj,,,,,,,,,
1,6,,verheiratet,casado,adj,,,,,,,,,
,,,,,,,,,,,,,,
1,7,,der Installateur,el fontanero,nom,,,,,,,,,
1,7,,der Maurer,el albañil,nom,,,,,,,,,
1,7,,das Kaufhaus,el almacén,nom,,,,,,,,,
1,7,,sich [mit etw] befassen,dedicarse [a algo],verb,sacar,indicativo,presente,me dedico,te dedicas,se dedica,nos dedicamos,os dedicáis,se dedican
1,7,,der Anwalt,el abogado,nom,,,,,,,,,
1,7,,die Firma,la empresa,nom,,,,,,,,,
1,7,,der Arzt,el médico,nom,,,,,,,,,
1,7,,verantwortlich,responsable,adj,,,,,,,,,
1,7,,der Verantwortliche,el responsable,nom,,,,,,,,,
1,7,,[etw] machen,hacer [algo],verb,hacer,indicativo,presente,hago,haces,hace,hacemos,hacéis,hacen
1,7,,die Umarmung,el abrazo,nom,,,,,,,,,
1,7,,von [Ort] aus / seit [Zeit],desde,prep,,,,,,,,,
1,7,,die Schule,la escuela,nom,,,,,,,,,
,,,,,,,,,,,,,,
1,8,,der Berg / das Gebirge,la montaña,nom,,,,,,,,,
1,8,,der Fluss,el río,nom,,,,,,,,,
1,8,,der Rentner,el jubilado,nom,,,,,,,,,
1,8,,gemeinsam / miteinander,juntos,adv,,,,,,,,,
1,8,,der Student,el estudiante,nom,,,,,,,,,
1,8,,in der Nähe [von etw],cerca [de],prep,,,,,,,,,
1,8,,[etw] hören,escuchar [algo],verb,amar,indicativo,presente,escucho,escuchas,escucha,escuchamos,escucháis,escuchan
1,8,,[jmdm] zuhören,escuchar [a alguien],verb,amar,indicativo,presente,escucho,escuchas,escucha,escuchamos,escucháis,escuchan
1,8,,[etw] lernen,aprender [algo],verb,deber,indicativo,presente,aprendo,aprendes,aprende,aprendemos,aprendéis,aprenden
1,8,,der Journalist[in],el/la periodista,nom,,,,,,,,,
1,8,,der Koch,la cocinero,nom,,,,,,,,,
1,8,,der Friseur,el peluquero,nom,,,,,,,,,
1,8,,der/die Taxifahrerin,el/la taxista,nom,,,,,,,,,
1,8,,der Verkehr,el tráfico,nom,,,,,,,,,
1,8,,der Zusteller / Lieferjunge,el repartidor,nom,,,,,,,,,
1,8,,der Briefträger,el cartero,nom,,,,,,,,,
1,8,,der Verkehrspolizist,el guardia de tráfico,nom,,,,,,,,,
1,8,,Was arbeitet er?,¿En qué trabaja?,wend,,,,,,,,,
1,8,,Lehramt,Magisterio,nom,,,,,,,,,
1,8,,exakte Wissenschaften,Ciencias exactas,nom,,,,,,,,,
1,8,,Betriebswirtschaft,Empresariales,nom,,,,,,,,,
1,8,,Grafikdesign,Diseño gráfico,nom,,,,,,,,,
1,8,,Journalistik,Periodismo,nom,,,,,,,,,
1,8,,Recht,Derecho,nom,,,,,,,,,
1,8,,Bibliothekskunde,Biblioteconomía,nom,,,,,,,,,
1,8,,Krankenpfleger,Enfermería,nom,,,,,,,,,
1,8,,Medizin,Medicina,nom,,,,,,,,,
1,8,,der Lehrer,el maestro,nom,,,,,,,,,
1,8,,der Krankenpfleger,el enfermero,nom,,,,,,,,,
1,8,,der Physiotherapeut,el fisioterapeuta,nom,,,,,,,,,
1,8,,der Bibliothekar,el bibliotecario,nom,,,,,,,,,
1,8,,Nomen MZ: -[vokal],-s,rule,Noun,,,,,,,,
1,8,,Nomen MZ: -[consonant],-es,rule,Noun,,,,,,,,
1,8,,der Maler,el pintor,nom,,,,,,,,,
1,8,,der Streik,el paro,nom,,,,,,,,,
1,8,,das Ziel,la meta,nom,,,,,,,,,
1,8,,der Lohn / die Bezahlung,la paga,nom,,,,,,,,,
1,8,,der Lohn / das Salär,el salario,nom,,,,,,,,,
,,,,,,,,,,,,,,
1,9,,,el escritor,nom,,,,,,,,,
1,9,,der Schauspieler / die ..in,el actor / la actriz,nom,,,,,,,,,
1,9,,der Regisseur,el director,nom,,,,,,,,,
1,9,,der Dicher / die Dichterin,el poeta / la poetisa,nom,,,,,,,,,
1,9,,der Diplomat,el diplomático,nom,,,,,,,,,
1,9,,der See,el lago,nom,,,,,,,,,
1,9,,der Süden,el Sur,nom,,,,,,,,,
1,9,,der Norden,el Norte,nom,,,,,,,,,
1,9,,der Osten,el Este,nom,,,,,,,,,
1,9,,der Westen,el Oeste,nom,,,,,,,,,
1,9,,der Strand,la playa,nom,,,,,,,,,
1,9,,das Meer,el mar,nom,,,,,,,,,
1,9,,die Küste,la costa,nom,,,,,,,,,
1,9,,der Urwald,la selva,nom,,,,,,,,,
1,9,,[jmdn / etw] kennen lernen,conocer [algo / a alguien],verb,parecer,indicativo,presente,cono*zco,conoces,conoce,conocemos,conocéis,conocen
1,9,,[jmdn zu etw] einladen,invitar [a alguien a algo],verb,amar,indicativo,presente,invito,invitas,invita,invitamos,invitáis,invitan
1,9,,die Grenze,la frontera,nom,,,,,,,,,
1,9,,lang,largo,adj,,,,,,,,,
1,9,,der Gipfel,la cumbre,nom,,,,,,,,,
1,9,,verschneit,nevado,adj,,,,,,,,,
1,9,,die Wüste,el desierto,nom,,,,,,,,,
1,9,,die Halbinsel,la península,nom,,,,,,,,,
1,9,,der Sand,la arena,nom,,,,,,,,,
1,9,,weiss,blanco,adj,,,,,,,,,
1,9,,die Bergspitze,el pico,nom,,,,,,,,,
1,9,,die Gebirgskette,la cordillera,nom,,,,,,,,,
1,9,,die Höhe (üM),la altura,nom,,,,,,,,,
1,9,,dazugehörend,perteneciente,adj,,,,,,,,,
1,9,,die Insel,la isla,nom,,,,,,,,,
1,9,,[etw] bekommen,recibir [algo],verb,vivir,indicativo,presente,recibo,recibes,recibe,recibimos,recibís,reciben
1,9,,der Roman,la novela,nom,,,,,,,,,
1,9,,verschieden,distinto,adj,,,,,,,,,
1,9,,der Kellner,el camarero,nom,,,,,,,,,
1,9,,die Zeitung,el periódico,nom,,,,,,,,,
1,9,,das krankenhaus,el hospital,nom,,,,,,,,,
,,,,,,,,,,,,,,
1,9,,der Physiotherapeut,el fisioterapeuta,nom,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,1,,die Fussballmannschaft,el equipo de fútbol,nom,,,,,,,,,
2,1,,der Grossvater,el abuelo,nom,,,,,,,,,
2,1,,die Grossmutter,la abuela,nom,,,,,,,,,
2,1,,der Vater,el padre,nom,,,,,,,,,
2,1,,die Mutter,la madre,nom,,,,,,,,,
2,1,,der Bruder,el hermano,nom,,,,,,,,,
2,1,,die Geschwister,los hermanos,nom,,,,,,,,,
2,1,,die Schwester,la hermana,nom,,,,,,,,,
2,1,,das Haar,el pelo,nom,,,,,,,,,
2,1,,schwarz,negro,adj,,,,,,,,,
2,1,,blond,rubio,adj,,,,,,,,,
2,1,,die Brille,las gafas,nom,,,,,,,,,
2,1,,ledig,soltero,adj,,,,,,,,,
2,1,,dieser diese dieses (demon),"este, esta, esto",pron,demonstrativo,,,,,,,,
2,1,,Wie sieht er/sie/etw aus?,¿Cómo es XXX?,wend,,,,,,,,,
2,1,,[jmdn | etw] tragen,llevar [algo | a alguien],verb,amar,indicativo,presente,llevo,llevas,lleva,llevamos,lleváis,llevan
